time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Flamengo,2019,2,01/05/2019,16:00,Quarta,05,Internacional,Derrota,1,2,Visitante,Flavio Rodrigues De Souza,27.5,3.3,180.2,7.3,29.2,4.7,180.7,6.0,Estádio Beira-Rio
Flamengo,2019,3,05/05/2019,16:00,Domingo,05,São Paulo,Empate,1,1,Visitante,Ricardo Marques Ribeiro,24.7,4.4,180.0,6.0,26.0,4.6,180.1,5.3,MorumBIS
Flamengo,2019,4,12/05/2019,11:00,Domingo,05,Chapecoense,Vitória,2,1,Mandante,Jean Pierre Goncalves Lima,26.1,4.7,179.2,4.4,27.6,4.3,179.4,5.7,Estádio do Maracanã
Flamengo,2019,5,18/05/2019,19:00,Sábado,05,Atlético Mineiro,Derrota,1,2,Visitante,Paulo Roberto Alves Junior,27.5,3.5,178.6,4.9,29.7,5.4,178.5,9.1,Arena Independência
Flamengo,2019,6,26/05/2019,16:00,Domingo,05,Athletico,Vitória,3,2,Mandante,Daniel Nobre Bins,27.9,4.4,179.1,4.9,25.6,4.0,181.2,5.5,Estádio do Maracanã
Flamengo,2019,7,01/06/2019,16:00,Sábado,06,Fortaleza,Vitória,2,0,Mandante,Rodrigo D'alonso Ferreira,28.1,4.0,177.7,4.7,28.4,4.4,179.5,6.0,Estádio do Maracanã
Flamengo,2019,8,09/06/2019,19:00,Domingo,06,Fluminense,Empate,0,0,Visitante,Wagner do Nascimento Magalhaes,28.2,4.0,178.9,4.8,23.9,3.5,179.8,5.1,Estádio do Maracanã
Flamengo,2019,9,12/06/2019,21:30,Quarta,06,CSA,Vitória,2,0,Visitante,Douglas Marques das Flores,26.1,2.6,180.4,5.7,29.7,3.5,180.7,6.4,Arena BRB Mané Garrincha
Flamengo,2019,10,14/07/2019,11:00,Domingo,07,Goiás,Vitória,6,1,Mandante,Caio Max Augusto Vieira,28.4,4.1,178.5,5.1,27.2,2.9,178.5,5.8,Estádio do Maracanã
Flamengo,2019,11,21/07/2019,16:00,Domingo,07,Corinthians,Empate,1,1,Visitante,Leandro Pedro Vuaden,27.0,3.9,179.3,4.6,28.9,3.8,177.2,9.7,Neo Química Arena
Flamengo,2019,12,28/07/2019,16:00,Domingo,07,Botafogo,Vitória,3,2,Mandante,Raphael Claus,26.7,4.4,181.0,5.5,28.1,4.8,180.5,6.9,Estádio do Maracanã
Flamengo,2019,13,04/08/2019,16:00,Domingo,08,Bahia,Derrota,0,3,Visitante,Flavio Rodrigues De Souza,27.9,4.5,181.0,5.9,27.9,4.0,180.5,7.6,Arena Fonte Nova
Flamengo,2019,14,10/08/2019,19:00,Sábado,08,Grêmio,Vitória,3,1,Mandante,Braulio Da Silva Machado,27.9,4.4,181.5,5.7,27.9,5.6,180.6,5.4,Estádio do Maracanã
Flamengo,2019,15,17/08/2019,19:00,Sábado,08,Vasco da Gama,Vitória,4,1,Visitante,Leandro Pedro Vuaden,26.9,4.2,181.4,5.4,27.3,4.9,182.8,6.5,Arena BRB Mané Garrincha
Flamengo,2019,16,25/08/2019,19:00,Domingo,08,Ceará,Vitória,3,0,Visitante,Wilton Pereira Sampaio,26.0,3.3,181.2,5.1,28.9,4.4,180.6,6.9,Estádio Governador Plácido Castelo
Flamengo,2019,17,01/09/2019,16:00,Domingo,09,Palmeiras,Vitória,3,0,Mandante,Rafael Traci,28.3,4.1,180.8,5.8,29.5,3.8,180.4,6.4,Estádio do Maracanã
Flamengo,2019,18,07/09/2019,17:00,Sábado,09,Avaí,Vitória,3,0,Visitante,Edina Alves Batista,27.9,5.4,182.3,6.3,27.3,4.0,181.6,8.0,Arena BRB Mané Garrincha
Flamengo,2019,19,14/09/2019,17:00,Sábado,09,Santos,Vitória,1,0,Mandante,Braulio Da Silva Machado,28.3,4.1,180.8,5.8,27.3,3.5,180.1,10.7,Estádio do Maracanã
Flamengo,2019,20,21/09/2019,17:00,Sábado,09,Cruzeiro,Vitória,2,1,Visitante,Raphael Claus,28.0,4.1,181.2,5.5,28.2,6.2,181.3,5.6,Governador Magalhães Pinto
Flamengo,2019,21,25/09/2019,21:30,Quarta,09,Internacional,Vitória,3,1,Mandante,Luiz Flávio de Oliveira,28.4,4.1,180.8,5.8,30.1,3.8,182.0,5.4,Estádio do Maracanã
Flamengo,2019,22,28/09/2019,19:00,Sábado,09,São Paulo,Empate,0,0,Mandante,Rafael Traci,27.4,2.9,179.8,5.6,28.6,5.1,179.5,5.8,Estádio do Maracanã
Flamengo,2019,23,06/10/2019,11:00,Domingo,10,Chapecoense,Vitória,1,0,Visitante,Vinicius Goncalves Dias Araujo,27.3,4.6,181.3,5.8,28.1,4.9,179.4,4.6,Arena Condá
Flamengo,2019,24,10/10/2019,20:00,Quinta,10,Atlético Mineiro,Vitória,3,1,Mandante,Wilton Pereira Sampaio,28.0,4.8,182.2,6.7,31.1,5.8,181.2,7.8,Estádio do Maracanã
Flamengo,2019,25,13/10/2019,16:00,Domingo,10,Athletico,Vitória,2,0,Visitante,Braulio Da Silva Machado,28.3,4.1,181.4,6.9,28.4,4.6,180.9,7.4,Arena da Baixada
Flamengo,2019,26,16/10/2019,20:00,Quarta,10,Fortaleza,Vitória,2,1,Visitante,Paulo Roberto Alves Junior,24.9,4.1,181.7,4.8,27.6,3.7,180.2,4.1,Estádio Governador Plácido Castelo
Flamengo,2019,27,20/10/2019,18:00,Domingo,10,Fluminense,Vitória,2,0,Mandante,Anderson Daronco,27.7,3.8,181.3,5.0,26.8,4.8,180.2,7.1,Estádio do Maracanã
Flamengo,2019,28,27/10/2019,19:00,Domingo,10,CSA,Vitória,1,0,Mandante,Rodolpho Toski Marques,28.0,4.7,180.3,5.0,29.6,4.0,181.5,7.3,Estádio do Maracanã
Flamengo,2019,29,31/10/2019,20:00,Quinta,10,Goiás,Empate,2,2,Visitante,Ricardo Marques Ribeiro,27.5,2.8,181.1,6.4,27.5,3.9,180.0,6.7,Serra Dourada
Flamengo,2019,30,03/11/2019,16:00,Domingo,11,Corinthians,Vitória,4,1,Mandante,Jean Pierre Goncalves Lima,27.3,4.6,180.8,6.2,27.0,5.2,181.0,8.9,Estádio do Maracanã
Flamengo,2019,31,07/11/2019,20:00,Quinta,11,Botafogo,Vitória,1,0,Visitante,Leandro Pedro Vuaden,27.9,3.7,180.6,5.7,26.9,4.6,180.3,7.3,Estadio Nilton Santos
Flamengo,2019,32,10/11/2019,18:00,Domingo,11,Bahia,Vitória,3,1,Mandante,Caio Max Augusto Vieira,28.0,3.7,181.5,4.9,27.3,4.2,179.5,8.1,Estádio do Maracanã
Flamengo,2019,34,13/11/2019,21:30,Quarta,11,Vasco da Gama,Empate,4,4,Mandante,Wilton Pereira Sampaio,27.8,5.1,181.9,5.3,27.1,4.2,182.4,6.9,Estádio do Maracanã
Flamengo,2019,33,17/11/2019,16:00,Domingo,11,Grêmio,Vitória,1,0,Visitante,Raphael Claus,26.5,5.4,179.7,6.4,31.7,4.6,180.6,5.4,Arena do Grêmio
Flamengo,2019,35,27/11/2019,21:30,Quarta,11,Ceará,Vitória,4,1,Mandante,Paulo Roberto Alves Junior,28.6,4.6,180.2,6.5,30.5,2.2,179.3,7.0,Estádio do Maracanã
Flamengo,2019,36,01/12/2019,16:00,Domingo,12,Palmeiras,Vitória,3,1,Visitante,Ricardo Marques Ribeiro,28.8,4.3,181.4,5.8,31.0,3.6,180.4,5.5,Nubank Parque
Flamengo,2019,37,05/12/2019,20:00,Quinta,12,Avaí,Vitória,6,1,Mandante,Jefferson Ferreira de Moraes,27.4,5.1,179.5,7.6,25.6,5.1,183.4,7.4,Estádio do Maracanã
Flamengo,2019,38,08/12/2019,16:00,Domingo,12,Santos,Derrota,0,4,Visitante,Paulo Roberto Alves Junior,28.0,3.7,181.1,5.4,27.7,3.5,178.7,10.3,Estádio Urbano Caldeira
Flamengo,2020,1,09/08/2020,16:00,Domingo,08,Atlético Mineiro,Derrota,0,1,Mandante,Raphael Claus,29.0,4.3,180.6,5.5,24.4,2.8,178.1,7.5,Estádio do Maracanã
Flamengo,2020,2,12/08/2020,20:30,Quarta,08,Atlético Goianiense,Derrota,0,3,Visitante,Luiz Flávio de Oliveira,28.4,3.9,183.2,5.6,26.2,2.7,181.8,5.2,Serra Dourada
Flamengo,2020,3,15/08/2020,19:30,Sábado,08,Coritiba,Vitória,1,0,Visitante,Rodrigo D'alonso Ferreira,27.3,3.6,182.1,5.8,27.9,4.9,181.6,5.3,Estádio Major Antônio Couto Pereira
Flamengo,2020,4,19/08/2020,19:15,Quarta,08,Grêmio,Empate,1,1,Mandante,Rafael Traci,27.9,4.3,181.5,4.8,29.5,5.4,182.2,6.2,Estádio do Maracanã
Flamengo,2020,5,23/08/2020,11:00,Domingo,08,Botafogo,Empate,1,1,Mandante,Leandro Pedro Vuaden,28.8,4.9,179.9,5.5,26.3,4.9,181.1,5.9,Estádio do Maracanã
Flamengo,2020,6,30/08/2020,16:00,Domingo,08,Santos,Vitória,1,0,Visitante,Wilton Pereira Sampaio,27.6,4.0,180.5,7.4,27.3,4.2,177.7,9.1,Estádio Urbano Caldeira
Flamengo,2020,7,02/09/2020,20:30,Quarta,09,Bahia,Vitória,5,3,Visitante,Savio Pereira Sampaio,26.6,3.1,180.2,5.4,30.3,4.0,177.5,7.8,Arena Fonte Nova
Flamengo,2020,8,05/09/2020,17:00,Sábado,09,Fortaleza,Vitória,2,1,Mandante,Flavio Rodrigues De Souza,27.4,3.9,180.8,7.6,30.0,4.0,177.1,6.8,Estádio do Maracanã
Flamengo,2020,9,09/09/2020,21:30,Quarta,09,Fluminense,Vitória,2,1,Visitante,Raphael Claus,28.0,4.6,180.5,6.5,28.2,5.9,178.5,6.6,Estádio do Maracanã
Flamengo,2020,10,13/09/2020,18:00,Domingo,09,Ceará,Derrota,0,2,Visitante,Marielson Alves Silva,27.3,2.8,180.5,8.5,29.7,5.1,181.5,9.2,Estádio Governador Plácido Castelo
Flamengo,2020,12,27/09/2020,16:00,Domingo,09,Palmeiras,Empate,1,1,Visitante,Jean Pierre Goncalves Lima,21.6,2.4,182.9,7.0,27.5,6.0,179.9,4.4,Nubank Parque
Flamengo,2020,13,04/10/2020,16:00,Domingo,10,Athletico,Vitória,3,1,Mandante,Rodrigo D'alonso Ferreira,26.0,5.0,183.2,6.5,26.5,5.2,183.4,5.1,Estádio do Maracanã
Flamengo,2020,14,07/10/2020,19:15,Quarta,10,Sport Recife,Vitória,3,0,Mandante,Caio Max Augusto Vieira,27.3,5.2,184.4,7.3,29.1,4.0,181.6,6.6,Estádio do Maracanã
Flamengo,2020,15,10/10/2020,17:00,Sábado,10,Vasco da Gama,Vitória,2,1,Visitante,Flavio Rodrigues De Souza,26.7,5.0,183.9,8.0,26.4,5.4,179.5,5.7,Estádio São Januário
Flamengo,2020,11,13/10/2020,18:00,Terça,10,Goiás,Vitória,2,1,Mandante,Paulo Roberto Alves Junior,25.2,4.4,183.2,9.0,27.5,4.9,179.9,8.6,Estádio do Maracanã
Flamengo,2020,16,15/10/2020,20:00,Quinta,10,Red Bull Bragantino,Empate,1,1,Mandante,Daniel Nobre Bins,26.4,4.9,181.5,7.4,25.5,4.3,180.7,5.6,Estádio do Maracanã
Flamengo,2020,17,18/10/2020,16:00,Domingo,10,Corinthians,Vitória,5,1,Visitante,Leandro Pedro Vuaden,26.8,4.7,184.2,7.3,28.2,5.0,178.7,8.5,Neo Química Arena
Flamengo,2020,18,25/10/2020,18:15,Domingo,10,Internacional,Empate,2,2,Visitante,Wilton Pereira Sampaio,26.7,4.6,183.9,7.4,28.9,4.4,180.4,5.2,Estádio Beira-Rio
Flamengo,2020,19,01/11/2020,16:00,Domingo,11,São Paulo,Derrota,1,4,Mandante,Caio Max Augusto Vieira,26.5,5.1,183.9,7.5,26.4,5.2,179.3,5.0,Estádio do Maracanã
Flamengo,2020,20,08/11/2020,18:15,Domingo,11,Atlético Mineiro,Derrota,0,4,Visitante,Savio Pereira Sampaio,27.0,4.7,184.5,7.1,26.8,4.1,179.2,8.5,Governador Magalhães Pinto
Flamengo,2020,21,14/11/2020,21:30,Sábado,11,Atlético Goianiense,Empate,1,1,Mandante,Rafael Traci,25.4,2.9,183.0,8.2,25.4,2.7,179.7,7.6,Estádio do Maracanã
Flamengo,2020,22,21/11/2020,19:00,Sábado,11,Coritiba,Vitória,3,1,Mandante,Ricardo Marques Ribeiro,28.2,3.9,180.6,5.4,27.9,4.0,180.4,4.9,Estádio do Maracanã
Flamengo,2020,24,05/12/2020,17:00,Sábado,12,Botafogo,Vitória,1,0,Visitante,Anderson Daronco,29.3,4.0,182.4,6.0,27.1,5.0,180.0,5.7,Estadio Nilton Santos
Flamengo,2020,25,13/12/2020,16:00,Domingo,12,Santos,Vitória,4,1,Mandante,Paulo Roberto Alves Junior,27.9,5.4,180.5,5.0,23.8,3.7,181.5,5.7,Estádio do Maracanã
