time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Palmeiras,2020,22,21/11/2020,21:00,Sábado,11,Goiás,Derrota,0,1,Visitante,Bruno Arleu de Araujo,27.4,5.6,179.9,6.3,27.0,4.2,180.1,9.7,Serra Dourada
Palmeiras,2020,23,28/11/2020,17:00,Sábado,11,Athletico,Vitória,3,0,Mandante,Anderson Daronco,25.5,4.0,178.7,5.6,25.1,4.3,180.2,5.4,Nubank Parque
Palmeiras,2020,24,05/12/2020,17:00,Sábado,12,Santos,Empate,2,2,Visitante,Flavio Rodrigues De Souza,27.3,4.2,179.7,5.4,26.1,4.0,179.6,9.9,Estádio Urbano Caldeira
Palmeiras,2020,25,12/12/2020,19:00,Sábado,12,Bahia,Vitória,3,0,Mandante,Rafael Traci,26.6,3.9,179.0,6.2,28.2,4.2,181.0,5.8,Nubank Parque
Palmeiras,2020,26,19/12/2020,21:00,Sábado,12,Internacional,Derrota,0,2,Visitante,Savio Pereira Sampaio,27.3,4.7,179.0,5.2,27.4,5.3,181.7,5.5,Estádio Beira-Rio
Palmeiras,2020,27,27/12/2020,18:15,Domingo,12,Red Bull Bragantino,Vitória,1,0,Mandante,Raphael Claus,25.4,5.1,180.6,4.5,25.2,3.9,181.0,6.4,Nubank Parque
Palmeiras,2020,29,09/01/2021,19:00,Sábado,01,Sport Recife,Vitória,1,0,Visitante,Dyorgines Jose Padovani de Andrade,26.6,4.6,178.8,5.9,28.4,3.9,181.1,5.6,Ilha do Retiro
Palmeiras,2020,30,15/01/2021,21:30,Sexta,01,Grêmio,Empate,1,1,Mandante,Bruno Arleu de Araujo,27.9,3.4,178.9,6.5,28.2,4.9,181.6,6.1,Nubank Parque
Palmeiras,2020,28,18/01/2021,19:00,Segunda,01,Corinthians,Vitória,4,0,Mandante,Jean Pierre Goncalves Lima,27.1,4.8,179.6,5.2,29.8,4.0,179.4,9.1,Nubank Parque
Palmeiras,2020,31,21/01/2021,19:00,Quinta,01,Flamengo,Derrota,0,2,Visitante,Savio Pereira Sampaio,27.5,5.0,179.5,5.3,29.0,4.5,180.7,7.1,Estádio do Maracanã
Palmeiras,2020,32,24/01/2021,16:00,Domingo,01,Ceará,Derrota,1,2,Visitante,Braulio Da Silva Machado,26.3,5.6,180.3,3.9,28.4,3.8,181.5,8.0,Estádio Governador Plácido Castelo
Palmeiras,2020,1,26/01/2021,20:00,Terça,01,Vasco da Gama,Empate,1,1,Mandante,Anderson Daronco,27.1,6.5,180.1,4.7,27.4,5.5,179.2,7.5,Nubank Parque
Palmeiras,2020,33,02/02/2021,16:00,Terça,02,Botafogo,Empate,1,1,Mandante,Felipe Fernandes de Lima,28.1,5.3,180.5,4.9,24.2,6.2,181.7,6.4,Nubank Parque
Palmeiras,2020,36,14/02/2021,18:15,Domingo,02,Fortaleza,Vitória,3,0,Mandante,Ricardo Marques Ribeiro,25.5,4.9,179.5,5.2,28.2,4.8,181.0,5.8,Nubank Parque
Palmeiras,2020,35,17/02/2021,19:30,Quarta,02,Coritiba,Derrota,0,1,Visitante,Ramon Abatti Abel,25.7,5.1,179.5,6.9,27.5,5.6,181.8,7.2,Estádio Major Antônio Couto Pereira
Palmeiras,2020,34,19/02/2021,21:30,Sexta,02,São Paulo,Empate,1,1,Visitante,Leandro Pedro Vuaden,29.0,4.8,179.8,6.2,29.1,4.8,181.4,6.5,MorumBIS
Palmeiras,2020,37,22/02/2021,18:00,Segunda,02,Atlético Goianiense,Empate,1,1,Mandante,Caio Max Augusto Vieira,28.8,4.7,180.3,5.8,25.4,2.3,180.1,7.9,Nubank Parque
Palmeiras,2020,38,25/02/2021,21:30,Quinta,02,Atlético Mineiro,Derrota,0,2,Visitante,Heber Roberto Lopes,23.7,4.0,179.6,6.3,26.0,3.9,179.5,7.9,Governador Magalhães Pinto
Palmeiras,2021,1,30/05/2021,16:00,Domingo,05,Flamengo,Derrota,0,1,Visitante,Anderson Daronco,27.9,5.1,181.0,5.9,30.5,4.3,180.4,5.0,Estádio do Maracanã
Palmeiras,2021,2,06/06/2021,18:15,Domingo,06,Chapecoense,Vitória,3,1,Mandante,Leo Simao Holanda,27.4,5.5,179.3,5.3,26.0,3.6,180.2,4.9,Nubank Parque
Palmeiras,2021,3,12/06/2021,19:00,Sábado,06,Corinthians,Empate,1,1,Mandante,Flavio Rodrigues De Souza,28.9,6.0,179.5,5.4,28.4,4.7,179.2,8.5,Nubank Parque
Palmeiras,2021,4,16/06/2021,21:30,Quarta,06,Juventude,Vitória,3,0,Visitante,Marielson Alves Silva,29.5,6.2,180.0,4.9,27.2,4.2,178.6,5.3,Estádio Alfredo Jaconi
Palmeiras,2021,5,20/06/2021,11:00,Domingo,06,América Mineiro,Vitória,2,1,Mandante,Jefferson Ferreira de Moraes,28.9,6.6,179.5,4.5,28.5,4.2,178.3,6.9,Nubank Parque
Palmeiras,2021,6,23/06/2021,19:00,Quarta,06,Red Bull Bragantino,Derrota,1,3,Visitante,Luiz Flávio de Oliveira,28.8,4.8,180.6,6.0,24.7,4.0,181.1,7.1,Estádio Nabi Abi Chedid
Palmeiras,2021,7,27/06/2021,20:00,Domingo,06,Bahia,Vitória,3,2,Mandante,Denis da Silva Ribeiro Serafim,28.4,5.1,179.7,5.4,27.4,4.5,179.8,7.4,Nubank Parque
Palmeiras,2021,8,30/06/2021,19:00,Quarta,06,Internacional,Vitória,2,1,Visitante,Paulo Roberto Alves Junior,27.5,5.4,180.5,4.4,25.2,4.7,181.0,5.4,Estádio Beira-Rio
Palmeiras,2021,9,04/07/2021,16:00,Domingo,07,Sport Recife,Vitória,1,0,Visitante,Caio Max Augusto Vieira,28.7,6.1,180.3,4.3,27.9,3.3,181.4,8.3,Ilha do Retiro
Palmeiras,2021,10,07/07/2021,19:00,Quarta,07,Grêmio,Vitória,2,0,Mandante,Felipe Fernandes de Lima,26.5,5.1,178.2,5.5,28.1,5.9,179.9,6.3,Nubank Parque
Palmeiras,2021,11,10/07/2021,16:30,Sábado,07,Santos,Vitória,3,2,Mandante,Braulio Da Silva Machado,29.1,5.6,179.8,4.0,26.0,5.0,177.0,6.9,Nubank Parque
Palmeiras,2021,12,18/07/2021,16:00,Domingo,07,Atlético Goianiense,Vitória,3,0,Visitante,Denis da Silva Ribeiro Serafim,28.2,5.5,178.5,6.2,25.8,3.9,180.7,8.0,Serra Dourada
Palmeiras,2021,13,24/07/2021,19:00,Sábado,07,Fluminense,Vitória,1,0,Mandante,Savio Pereira Sampaio,27.8,5.5,180.2,4.8,29.5,6.6,179.1,7.0,Nubank Parque
Palmeiras,2021,14,31/07/2021,19:00,Sábado,07,São Paulo,Empate,0,0,Visitante,Luiz Flávio de Oliveira,27.9,5.5,180.2,4.8,25.9,5.2,179.4,4.9,MorumBIS
Palmeiras,2021,15,07/08/2021,21:00,Sábado,08,Fortaleza,Derrota,2,3,Mandante,Wilton Pereira Sampaio,27.2,4.5,179.6,5.4,28.7,3.4,180.0,6.4,Nubank Parque
Palmeiras,2021,16,14/08/2021,19:00,Sábado,08,Atlético Mineiro,Derrota,0,2,Visitante,Bruno Arleu de Araujo,26.3,6.3,179.3,5.0,29.3,3.8,179.3,6.0,Governador Magalhães Pinto
Palmeiras,2021,17,22/08/2021,11:00,Domingo,08,Cuiabá,Derrota,0,2,Mandante,Anderson Daronco,26.8,4.4,177.9,7.0,29.9,3.3,179.2,6.9,Nubank Parque
Palmeiras,2021,18,28/08/2021,21:00,Sábado,08,Athletico,Vitória,2,1,Mandante,Leandro Pedro Vuaden,27.7,5.0,178.3,6.4,24.8,3.6,180.9,5.9,Nubank Parque
Palmeiras,2021,20,12/09/2021,16:00,Domingo,09,Flamengo,Derrota,1,3,Mandante,Wilton Pereira Sampaio,27.2,3.9,177.8,6.9,28.2,4.3,179.9,7.8,Nubank Parque
Palmeiras,2021,21,18/09/2021,17:00,Sábado,09,Chapecoense,Vitória,2,0,Visitante,Paulo Roberto Alves Junior,29.0,5.1,180.3,6.0,26.2,4.1,182.5,6.5,Arena Condá
Palmeiras,2021,22,25/09/2021,19:00,Sábado,09,Corinthians,Derrota,1,2,Visitante,Raphael Claus,26.2,5.1,179.9,6.0,30.1,5.0,181.0,7.8,Neo Química Arena
Palmeiras,2021,23,03/10/2021,18:15,Domingo,10,Juventude,Empate,1,1,Mandante,Marcelo de Lima Henrique,26.7,4.4,179.4,6.1,27.1,4.3,179.9,6.7,Nubank Parque
Palmeiras,2021,24,06/10/2021,21:30,Quarta,10,América Mineiro,Derrota,1,2,Visitante,Leandro Pedro Vuaden,27.5,6.3,179.5,6.8,29.7,3.8,181.2,7.3,Arena Independência
Palmeiras,2021,25,09/10/2021,21:00,Sábado,10,Red Bull Bragantino,Derrota,2,4,Mandante,Rafael Traci,26.5,5.1,179.3,6.8,23.9,4.4,181.5,7.5,Nubank Parque
Palmeiras,2021,26,12/10/2021,21:30,Terça,10,Bahia,Empate,0,0,Visitante,Ramon Abatti Abel,28.9,6.0,179.4,6.7,27.7,4.6,180.5,8.5,Arena Fonte Nova
Palmeiras,2021,27,17/10/2021,16:00,Domingo,10,Internacional,Vitória,1,0,Mandante,Braulio Da Silva Machado,30.0,4.2,179.1,7.1,29.1,5.0,181.3,5.1,Nubank Parque
Palmeiras,2021,19,20/10/2021,19:00,Quarta,10,Ceará,Vitória,2,1,Visitante,Andre Luiz de Freitas Castro,30.0,4.2,179.1,7.1,26.6,3.9,181.4,5.9,Estádio Governador Plácido Castelo
Palmeiras,2021,28,25/10/2021,21:30,Segunda,10,Sport Recife,Vitória,2,1,Mandante,Wagner do Nascimento Magalhaes,29.4,5.0,179.3,7.0,24.8,3.5,182.4,7.6,Nubank Parque
Palmeiras,2021,29,31/10/2021,16:00,Domingo,10,Grêmio,Vitória,3,1,Visitante,Savio Pereira Sampaio,29.5,4.0,178.5,7.0,29.1,5.4,180.6,5.8,Arena do Grêmio
Palmeiras,2021,30,07/11/2021,16:00,Domingo,11,Santos,Vitória,2,0,Visitante,Raphael Claus,27.9,3.6,178.0,6.9,25.6,3.1,181.8,7.1,Estádio Urbano Caldeira
Palmeiras,2021,31,10/11/2021,20:30,Quarta,11,Atlético Goianiense,Vitória,4,0,Mandante,Anderson Daronco,28.1,3.4,177.7,6.7,27.2,4.5,178.8,8.0,Nubank Parque
Palmeiras,2021,32,14/11/2021,18:15,Domingo,11,Fluminense,Derrota,1,2,Visitante,Caio Max Augusto Vieira,29.3,3.6,178.5,6.9,28.1,5.1,178.5,7.1,Estádio do Maracanã
Palmeiras,2021,33,17/11/2021,20:30,Quarta,11,São Paulo,Derrota,0,2,Mandante,Marcelo de Lima Henrique,27.2,5.6,180.9,4.8,27.8,4.6,181.0,4.9,Nubank Parque
Palmeiras,2021,34,20/11/2021,19:00,Sábado,11,Fortaleza,Derrota,0,1,Visitante,Ramon Abatti Abel,27.5,3.3,178.2,6.8,28.7,3.7,180.3,5.8,Estádio Governador Plácido Castelo
Palmeiras,2021,35,23/11/2021,21:30,Terça,11,Atlético Mineiro,Empate,2,2,Mandante,Anderson Daronco,26.0,6.1,180.8,4.1,28.1,4.1,179.9,6.5,Nubank Parque
Palmeiras,2021,36,30/11/2021,22:00,Terça,11,Cuiabá,Vitória,3,1,Visitante,Paulo Roberto Alves Junior,21.9,3.6,181.9,5.8,28.0,4.8,181.5,6.2,Estádio Eurico Gaspar Dutra
Palmeiras,2021,37,06/12/2021,19:00,Segunda,12,Athletico,Empate,0,0,Visitante,Wagner do Nascimento Magalhaes,20.5,2.7,182.9,5.3,27.0,3.4,179.6,5.1,Arena da Baixada
Palmeiras,2021,38,09/12/2021,21:30,Quinta,12,Ceará,Vitória,1,0,Mandante,Savio Pereira Sampaio,20.4,2.7,182.8,5.4,28.1,3.6,181.5,5.9,Nubank Parque
Palmeiras,2022,1,09/04/2022,21:00,Sábado,04,Ceará,Derrota,2,3,Mandante,Caio Max Augusto Vieira,28.2,3.6,178.3,7.2,30.6,3.1,181.1,7.9,Nubank Parque
Palmeiras,2022,2,16/04/2022,16:30,Sábado,04,Goiás,Empate,1,1,Visitante,Braulio Da Silva Machado,26.7,4.7,179.5,6.3,28.3,3.8,179.7,8.0,Estádio da Serrinha
Palmeiras,2022,4,20/04/2022,19:30,Quarta,04,Flamengo,Empate,0,0,Visitante,Wilton Pereira Sampaio,28.0,3.8,178.2,7.1,28.3,5.5,180.7,7.1,Estádio do Maracanã
Palmeiras,2022,3,23/04/2022,19:00,Sábado,04,Corinthians,Vitória,3,0,Mandante,Anderson Daronco,27.2,4.4,178.1,7.1,25.3,4.8,179.1,5.9,Nubank Parque
Palmeiras,2022,5,08/05/2022,16:00,Domingo,05,Fluminense,Empate,1,1,Mandante,Savio Pereira Sampaio,27.5,4.0,178.0,7.2,30.6,5.3,178.6,7.3,Nubank Parque
Palmeiras,2022,6,14/05/2022,16:30,Sábado,05,Red Bull Bragantino,Vitória,2,0,Mandante,Flavio Rodrigues De Souza,27.9,3.2,178.5,7.1,24.2,3.6,180.4,5.5,Nubank Parque
Palmeiras,2022,7,21/05/2022,19:00,Sábado,05,Juventude,Vitória,3,0,Visitante,Marcelo de Lima Henrique,27.6,4.0,178.9,7.3,28.0,2.9,180.4,6.7,Estádio Alfredo Jaconi
Palmeiras,2022,8,29/05/2022,16:00,Domingo,05,Santos,Vitória,1,0,Visitante,Luiz Flávio de Oliveira,28.4,3.6,178.0,6.9,25.4,4.5,180.4,6.8,Estádio Urbano Caldeira
Palmeiras,2022,9,05/06/2022,16:00,Domingo,06,Atlético Mineiro,Empate,0,0,Mandante,Wilton Pereira Sampaio,28.2,3.8,178.0,7.0,29.3,4.4,179.3,6.0,Nubank Parque
Palmeiras,2022,10,09/06/2022,19:00,Quinta,06,Botafogo,Vitória,4,0,Mandante,Anderson Daronco,27.4,4.5,178.3,7.2,27.6,4.0,178.7,6.1,Nubank Parque
Palmeiras,2022,11,12/06/2022,18:00,Domingo,06,Coritiba,Vitória,2,0,Visitante,Leandro Pedro Vuaden,27.4,4.5,178.3,7.2,27.0,5.9,182.7,8.4,Estádio Major Antônio Couto Pereira
Palmeiras,2022,12,16/06/2022,18:00,Quinta,06,Atlético Goianiense,Vitória,4,2,Mandante,Ramon Abatti Abel,27.1,4.1,179.1,7.4,27.9,2.8,181.7,5.6,Nubank Parque
Palmeiras,2022,13,20/06/2022,20:00,Segunda,06,São Paulo,Vitória,2,1,Visitante,Anderson Daronco,26.4,4.3,179.2,7.4,26.9,3.4,179.5,5.2,MorumBIS
Palmeiras,2022,14,26/06/2022,16:00,Domingo,06,Avaí,Empate,2,2,Visitante,Wagner do Nascimento Magalhaes,27.3,3.6,180.5,4.7,29.1,5.0,180.3,5.8,Estádio da Ressacada
Palmeiras,2022,15,02/07/2022,21:00,Sábado,07,Athletico,Derrota,0,2,Mandante,Braulio Da Silva Machado,27.8,3.4,178.4,7.1,23.7,2.9,182.1,6.2,Nubank Parque
Palmeiras,2022,16,10/07/2022,18:00,Domingo,07,Fortaleza,Empate,0,0,Visitante,Wilton Pereira Sampaio,27.8,4.0,178.2,7.2,28.5,4.2,179.7,6.5,Estádio Governador Plácido Castelo
Palmeiras,2022,17,18/07/2022,20:00,Segunda,07,Cuiabá,Vitória,1,0,Mandante,Anderson Daronco,26.5,4.3,179.3,6.1,28.5,3.6,181.1,4.9,Nubank Parque
